genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,imdb_id
"[18, 80, 53]",629,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",26.197479,1995-07-19,The Usual Suspects,8.1,4103,tt0114814
"[18, 10749]",19542,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",5.893193,1948-07-20,The Red Shoes,8.1,154,tt0040725
"[12, 14, 28]",121,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",38.685302,2002-12-18,The Lord of the Rings: The Two Towers,8.1,9145,tt0167261
"[12, 28, 878]",11,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,38.934678,1977-05-25,Star Wars,8.1,8455,tt0076759
"[9648, 53]",77,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",25.46245,2000-10-11,Memento,8.1,5375,tt0209144
"[27, 53]",694,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",31.117119,1980-05-22,The Shining,8.1,5289,tt0081505
"[18, 10752]",423,"The true story of pianist Wladyslaw Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",23.848509,2002-09-24,The Pianist,8.1,2524,tt0253474
"[18, 53]",264644,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,28.318871,2015-10-16,Room,8.1,3607,tt3170832
"[80, 53]",500,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",24.344487,1992-09-02,Reservoir Dogs,8.1,4939,tt0105236
"[12, 35, 878, 10751]",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",35.532541,1985-07-03,Back to the Future,8.1,7665,tt0088763
"[28, 35, 9648]",992,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",6.29806,1924-04-21,"Sherlock, Jr.",8.1,178,tt0015324
"[9648, 10749, 53]",426,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",22.852626,1958-05-09,Vertigo,8.1,1570,tt0052357
"[80, 18]",103,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",24.806562,1976-02-07,Taxi Driver,8.1,3426,tt0075314
"[18, 10752]",28,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",24.14229,1979-08-15,Apocalypse Now,8.1,2694,tt0078788
"[18, 10751, 14]",1585,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",26.251717,1946-12-20,It's a Wonderful Life,8.1,1406,tt0038650
"[9648, 18]",15,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",25.23932,1941-04-30,Citizen Kane,8.1,1579,tt0033467
"[35, 18, 10749]",284,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",10.030196,1960-06-15,The Apartment,8.1,627,tt0053604
[18],334543,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",17.167371,2016-11-24,Lion,8.1,2399,tt3741834
"[27, 10402]",92060,A night at the movies turns into a nightmare when Michael and his date are attacked by a hoard of bloody-thirsty zombies.,5.812258,1983-11-14,Michael Jackson's Thriller,8.1,130,tt0088263
"[10751, 16, 14]",110416,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",9.762842,2014-09-06,Song of the Sea,8.1,503,tt1865505
"[878, 18]",185,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",24.101313,1971-12-18,A Clockwork Orange,8.1,4478,tt0066921
"[10751, 16, 18]",8587,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,40.974733,1994-06-23,The Lion King,8.1,7007,tt0110357
"[35, 10749]",239,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",25.083203,1959-03-18,Some Like It Hot,8.1,1058,tt0053291
"[18, 35, 10752]",935,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike...",18.835424,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1878,tt0057012
"[28, 12, 35, 18]",961,"During America’s Civil War Union spies steal engineer Johnnie Gray's beloved locomotive The General - his lady love, Annabelle Lee, aboard an attached boxcar - and he single-handedly must do all in his power to both get The General back and to rescue Annabelle. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events.",6.306225,1926-12-31,The General,8.0,304,tt0017925
"[18, 10402]",316029,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",63.70259,2017-12-20,The Greatest Showman,8.0,1599,tt1485796
[18],705,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",7.000371,1950-11-09,All About Eve,8.0,473,tt0042192
"[18, 9648, 53]",1124,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",30.976179,2006-10-19,The Prestige,8.0,5647,tt0482571
"[36, 18, 53, 10752]",205596,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",49.508483,2014-11-14,The Imitation Game,8.0,7325,tt2084970
